job_title,location,job_type,experience_level,salary,requirements,excel,tableau,power_bi,sql,python
Data Analyst,Remote job,Full Time,Senior-level,92000.0,"Agile,Data analysis,Data visualization,Economics,KPIs,Mathematics",no,no,no,no,no
Business Intelligence Expert,"Brussels, Brussels, Belgium - Remote",Full Time,Mid-level,45000.0,"Business Intelligence,Data analysis,Data Analytics,PhD,Privacy,Python",no,no,no,no,yes
Data Engineer,"Gurgaon, India",Full Time,Senior-level,115000.0,"Airflow,Architecture,AWS,Banking,Big Data,BigQuery",no,no,no,no,no
Data Analyst,Remote,Full Time,Senior-level,135000.0,"Blockchain,Computer Science,Data analysis,Data governance,Data management,Data quality",no,no,no,no,no
Principle MLOps Engineer,"Lehi, Utah, United States",Full Time,Senior-level,69000.0,"AWS,Bigtable,Data analysis,DevOps,Distributed Systems,Engineering",no,no,no,no,no
Data Scientist,"Cardiff, London or Remote (UK)",Full Time,Senior-level,129000.0,"A/B testing,Banking,Data Mining,Finance,Looker,Python",no,no,no,no,yes
"Machine Learning Research Engineer, Generative AI",United States,Full Time,Senior-level,176000.0,"AWS,Deep Learning,GCP,Generative modeling,LLMs,Machine Learning",no,no,no,no,no
Data Analyst - Product Innovation,United States,Full Time,Mid-level,65000.0,"APIs,AWS,Computer Science,Data analysis,Data pipelines,Excel",no,no,no,no,no
Lead Data Scientist,"Cardiff, Wales, United Kingdom",Full Time,Mid-level,40000.0,"AWS,Azure,Big Data,Business Intelligence,Computer Science,Data management",no,no,no,no,no
Data Product Owner,Remote job,Full Time,Senior-level,62000.0,"Computer Science,DataOps,Engineering,Market research,Research,Testing",no,no,no,no,no
Bi Analyst Jr - 24170,"Campinas, Brazil",Full Time,Entry-level,48000.0,"Business Intelligence,Computer Science,Data analysis,Data governance,Data quality,Data visualization",no,no,no,no,no
HTML Developer,United Kingdom,Full Time,Mid-level,51000.0,"Agile,Finance,JavaScript,Testing,,",no,no,no,no,no
Business Intelligence Developer,"Oldsmar, FL",Full Time,Senior-level,67000.0,"Agile,APIs,Architecture,Business Intelligence,Computer Science,Data management",no,no,no,no,no
"Data Scientist, Marketing Analytics",United States,Full Time,Senior-level,104000.0,"Big Data,Data governance,Data visualization,Engineering,Finance,Hadoop",no,no,no,no,no
Manager - AML/CFT &Data Analyst,"Ebène, Mauritius",Full Time,Senior-level,92000.0,"Agile,Data management,Data quality,Excel,,",no,no,no,no,no
Data Visualization Analyst,"Chicago, Illinois, United States",Full Time,Senior-level,69000.0,"Agile,Computer Science,Data visualization,Engineering,JavaScript,Mathematics",no,no,no,no,no
Data Engineer (Remote),"Birmingham, Alabama, United States",Full Time,Mid-level,73000.0,"AWS,BigQuery,Business Intelligence,CI/CD,Dagster,Data pipelines",no,no,no,no,no
Customer Data Engineer,India,Full Time,Senior-level,115000.0,"AWS,Azure,Consulting,Data Analytics,Databricks,Data Warehousing",no,no,no,no,no
Data Engineer- Data Platform,United States,Full Time,Senior-level,105000.0,"Architecture,AWS,Big Data,Business Intelligence,Data pipelines,Data quality",no,no,no,no,no
Digital Marketing Lead (ZibraAI),Ukraine,Full Time,Mid-level,51000.0,"Machine Learning,Physics,,,,",no,no,no,no,no
Staff Data Scientist - Marketing,United States,Full Time,Senior-level,166000.0,"Causal inference,Computer Science,Data Mining,Economics,Machine Learning,Mathematics",no,no,no,no,no
Sales Business Intelligence Manager,United Kingdom,Full Time,Senior-level,62000.0,"Banking,Business Intelligence,Consulting,Economics,Engineering,Excel",no,no,no,no,no
Machine Learning Engineer,"Arlington, Virginia, USA",Full Time,Senior-level,131000.0,"Architecture,AWS,Big Data,Classification,Data Mining,Data pipelines",no,no,no,no,no
ETAS Test Lead - Autonomous Driving Solutions,"York, United Kingdom",Full Time,Senior-level,62000.0,"Agile,Autonomous Driving,Docker,Linux,Python,Testing",no,no,no,no,yes
. Data Engineer,United States,Full Time,Senior-level,115000.0,"Agile,Airflow,Architecture,Big Data,Computer Science,Data Analytics",no,no,no,no,no
Specialist Solutions Architect - MLOps,United States,Full Time,Senior-level,69000.0,"Architecture,Big Data,Computer Science,Databricks,Deep Learning,Engineering",no,no,no,no,no
"Data Scientist, Terminal",Canada,Full Time,Senior-level,129000.0,"Causal inference,Economics,Engineering,Finance,Machine Learning,PhD",no,no,no,no,no
React Native Engineer - Mobile (Dubai),"Dubai, Dubai, United Arab Emirates - Remote",Full Time,Mid-level,40000.0,"APIs,Finance,GitHub,JavaScript,Jira,React",no,no,no,no,no
Artificial Intelligence Lead | KPMG Futures,"Sydney, Australia",Full Time,Executive-level,65000.0,"Finance,Research,Testing,,,",no,no,no,no,no
Jr. CRM Data Quality Specialist,United States,Full Time,Entry-level,43000.0,"Data governance,Data quality,Finance,Research,,",no,no,no,no,no
Data Analyst,United States,Full Time,Senior-level,92000.0,"Computer Science,Consulting,Consulting firm,Data analysis,Data quality,Engineering",no,no,no,no,no
Data Management Consultant Banking (f/d/m) Financial Services Data Platform FSDM,"Frankfurt, Hessen, Germany - Remote",Full Time,Mid-level,45000.0,"Banking,Data management,MySQL,SQL,,",no,no,no,yes,no
"Director, Artificial Intelligence (AI)","Toronto, Ontario",Full Time,Executive-level,81000.0,"AWS,Azure,Computer Science,Finance,GANs,GCP",no,no,no,no,no
Intermediate BI Developer,South Africa - Remote,Full Time,Mid-level,35000.0,"Architecture,Azure,Business Intelligence,Computer Science,Databricks,Data governance",no,no,no,no,no
Business Intelligence Analyst,"Heredia, Costa Rica",Full Time,Senior-level,69000.0,"Athena,AWS,Business Intelligence,Computer Science,Data Analytics,Data quality",no,no,no,no,no
Data Analyst,"Atlanta, GA, United States",Full Time,Senior-level,92000.0,"Big Data,Computer Science,Data Analytics,Databricks,E-commerce,Economics",no,no,no,no,no
Staff Machine Learning Engineer,"London, England",Full Time,Senior-level,62000.0,"A/B testing,Airflow,AWS,Cassandra,Computer Science,Computer Vision",no,no,no,no,no
Data Analyst,"Birmingham, Alabama, United States",Full Time,Mid-level,65000.0,"BigQuery,Business Intelligence,Dagster,Databricks,Data Warehousing,ELT",no,no,no,no,no
Data Engineer I,"Englewood Cliffs, NEW JERSEY, United States",Full Time,Senior-level,115000.0,"AWS,Big Data,Computer Science,Data pipelines,DevOps,Engineering",no,no,no,no,no
Cloud Database Analyst,"Heredia, Costa Rica",Full Time,Senior-level,69000.0,"AWS,Big Data,Computer Science,GCP,Snowflake,SQL",no,no,no,yes,no
Machine Learning Engineer,United States,Full Time,Senior-level,140000.0,"Architecture,Big Data,Cassandra,Computer Science,Data Mining,Deep Learning",no,no,no,no,no
Data Analyst,France,Full Time,Mid-level,65000.0,"Classification,Consulting,Data management,Power BI,Python,R",no,no,yes,no,yes
FinancialData Analyst,"Foster City, CA, United States",Full Time,Senior-level,69000.0,"Data Analytics,Data visualization,Excel,Finance,PhD,Power BI",no,no,yes,no,no
Consultant in Data science,"Brussels, Belgium",Full Time,Entry-level,39000.0,"Big Data,Consulting,Consulting firm,Econometrics,Finance,Machine Learning",no,no,no,no,no
Staff Clinical Data Manager # 3073,"Menlo Park, CA",Full Time,Senior-level,69000.0,"Biology,Computer Science,Data management,Data quality,Data visualization,GCP",no,no,no,no,no
Consultant in Data Science,"Antwerp, Belgium",Full Time,Entry-level,39000.0,"Big Data,Consulting,Consulting firm,Econometrics,Finance,Machine Learning",no,no,no,no,no
Machine Learning Engineer,United States,Full Time,Senior-level,131000.0,"AWS,Azure,BERT,Chatbots,Classification,Deep Learning",no,no,no,no,no
"Staff Engineer, Data Platform","Austin, TX, United States",Full Time,Senior-level,62000.0,"AWS,Azure,BigQuery,Computer Science,Dataflow,Dataproc",no,no,no,no,no
Data Engineer,"Ontario,Canada | Remote-CAN",Full Time,Senior-level,115000.0,"Agile,Airflow,APIs,Architecture,Banking,Blockchain",no,no,no,no,no
Data Engineer,"Delhi, India",Full Time,Senior-level,115000.0,"APIs,Architecture,Data pipelines,Engineering,JavaScript,NoSQL",no,no,no,yes,no
"Data Scientist, Marketing Analytics",United States,Full Time,Senior-level,130000.0,"Big Data,BigQuery,Data governance,Data visualization,Engineering,Finance",no,no,no,no,no
"Director, IVA and AI Solutions - Professional Services Practice Lead",US: Remote,Full Time,Executive-level,73000.0,"Angular,APIs,Architecture,A,AWS,Azure",no,no,no,no,no
LeadData Analyst(Marketing/Growth Analytics),"India, Remote",Full Time,Senior-level,92000.0,"A/B testing,Banking,Engineering,FinTech,KPIs,Looker",no,no,no,no,no
Data Analyst,"Newark, CA",Full Time,Senior-level,131000.0,"APIs,Business Analytics,Engineering,ETL,Git,Jira",no,no,no,no,no
"Amazon Robotics - Hardware Engineer Co-op (July-December 2023), Amazon Robotics","North Reading, Massachusetts, USA",Full Time,Entry-level,44000.0,"Agile,Computer Vision,CX,Engineering,Machine Learning,Prototyping",no,no,no,no,no
Senior/Data Engineer,Germany,Full Time,Senior-level,115000.0,"Ansible,AWS,Data pipelines,DevOps,Elasticsearch,Engineering",no,no,no,no,no
Data Engineer,"Vilnius, Vilnius County, Lithuania",Full Time,Mid-level,73000.0,"Airflow,APIs,AWS,Azure,Data Analytics,Data pipelines",no,no,no,no,no
FSA (FinTech) - Quantitative Machine Learning Specialist & Software Developer,"Midrand, South Africa",Full Time,Senior-level,48000.0,"Architecture,Banking,Computer Science,Consulting,Credit risk,Docker",no,no,no,no,no
Data Engineer Analyst,"Bogotá, Colombia",Full Time,Entry-level,59000.0,"APIs,ETL,GCP,Google Cloud,Hadoop,JavaScript",no,no,no,no,no
Software Engineer (Data Pipeline),United States,Full Time,Senior-level,100000.0,"Big Data,CI/CD,Computer Science,Computer Vision,Data pipelines,Data Warehousing",no,no,no,no,no
Data Scientist,"Sydney, New South Wales, Australia",Full Time,Senior-level,129000.0,"Computer Science,Data quality,Engineering,Feature engineering,GCP,Machine Learning",no,no,no,no,no
Associate Data Scientist,"Lusaka, Zambia",Full Time,Mid-level,60000.0,"Computer Science,Data analysis,EDA,Engineering,Git,GitHub",no,no,no,no,no
Data Engineering Analyst,United States,Full Time,Entry-level,52000.0,"AWS,Azure,Data management,Data Warehousing,Engineering,ETL",no,no,no,no,no
Talan Consulting  Consultant/Manager  Data Strategy (H/F),France,Full Time,Senior-level,62000.0,"Architecture,Consulting,Data governance,Data management,Data strategy,Machine Learning",no,no,no,no,no
Enterprise Data Architect - 6 month Contract,United Kingdom,Full Time,Senior-level,135000.0,"APIs,Architecture,JSON,Model design,Security,SQL",no,no,no,yes,no
Data Engineer II,United States,Full Time,Mid-level,76000.0,"Agile,Airtable,AWS,Databricks,Engineering,PostgreSQL",no,no,no,yes,no
Data Scientist/Machine Learning Engineer,"Toronto, Ontario",Full Time,Senior-level,129000.0,"AWS,Azure,Computer Science,Data management,Data visualization,Deep Learning",no,no,no,no,no
Data Engineer,"Indianapolis, Indiana, United States",Full Time,Mid-level,73000.0,"Architecture,AWS,Data Analytics,Data warehouse,DynamoDB,Elasticsearch",no,no,no,no,no
"Data Scientist, Product","Lehi, Utah",Full Time,Senior-level,129000.0,"Bayesian,Business Analytics,Classification,Data analysis,Data Analytics,Data Mining",no,no,no,no,no
"Technical Support Engineer, DataSet","Prague, Czech Republic",Full Time,Senior-level,62000.0,"AWS,DevOps,Docker,EC2,Engineering,Kubernetes",no,no,no,no,no
"Staff Machine Learning Modeler, Financial Crimes",United States,Full Time,Senior-level,172000.0,"Airflow,AWS,Banking,Blockchain,Classification,Computer Science",no,no,no,no,no
Machine Learning Engineer,"San Diego, CALIFORNIA, United States",Full Time,Senior-level,119000.0,"Machine Learning,OOP,Python,Research,Testing,",no,no,no,no,yes
Business Intelligence Analyst,"Boulder, Colorado, United States",Full Time,Senior-level,125000.0,"Business Intelligence,Clustering,Data analysis,Data Analytics,Data governance,Data pipelines",no,no,no,no,no
Data Engineer - Music,United States,Full Time,Senior-level,116000.0,"Agile,Architecture,AWS,Big Data,BigQuery,Computer Science",no,no,no,no,no
Machine Learning Engineer,Argentina,Full Time,Mid-level,74000.0,"Airflow,Architecture,AWS,Big Data,CI/CD,Databricks",no,no,no,no,no
Data Engineer (Starlink),"Redmond, WA",Full Time,Senior-level,120000.0,"Clustering,Computer Science,Data analysis,Data Analytics,Engineering,ETL",no,no,no,no,no
Data Engineer,United States,Full Time,Senior-level,115000.0,"Agile,APIs,Architecture,AWS,Azure,CI/CD",no,no,no,no,no
Data Engineer confirmé BI - BIG DATA,"Toulouse, France",Full Time,Senior-level,115000.0,"Agile,Angular,Big Data,Blockchain,ETL,Hadoop",no,no,no,no,no
"Director, Spark Technical Solutions",India,Full Time,Executive-level,65000.0,"AWS,Azure,Big Data,Computer Science,Databricks,Elasticsearch",no,no,no,no,no
Data Engineer,France,Full Time,Entry-level,59000.0,"Architecture,BigQuery,CI/CD,Docker,Engineering,GCP",no,no,no,no,no
Middle Data Engineer (Healthcare domain),"Lviv, Ukraine",Full Time,Mid-level,73000.0,"Architecture,Azure,Big Data,BigQuery,Data analysis,Databricks",no,no,no,no,no
Data Analyst (Pricing),Spain,Full Time,Senior-level,92000.0,"BigQuery,Data pipelines,Data visualization,ELT,Engineering,ETL",no,no,no,no,no
People Analytics Data Visualization Associate (Open to Remote),"Washington, DC, United States",Full Time,Mid-level,51000.0,"Architecture,AWS,Business Intelligence,Classification,Consulting,Data visualization",no,no,no,no,no
Développ Power BI - H/F,France,Full Time,Senior-level,62000.0,"Agile,Architecture,KPIs,Power BI,Privacy,R",no,no,yes,no,no
Data Engineer,Portugal - Lisbon,Full Time,Senior-level,115000.0,"Airflow,AWS,Business Analytics,Databricks,DataOps,Data pipelines",no,no,no,no,no
Product Manager - Experts & Artificial Intelligence,United States,Full Time,Senior-level,69000.0,"Computer Science,E-commerce,LLMs,Machine Learning,NLP,Research",no,no,no,no,no
Group Manager Data Analyst India,India,Full Time,Senior-level,55000.0,"Data Analytics,Industrial,,,,",no,no,no,no,no
Data Analyst,United Kingdom,Full Time,Entry-level,48000.0,"APIs,Big Data,Data analysis,Data quality,GitHub,Grafana",no,no,no,no,no
Data Engineer,"Remote, Australia",Full Time,Senior-level,115000.0,"Agile,Airflow,Architecture,AWS,Azure,Data governance",no,no,no,no,no
"Vice President Director, Data Scientist","Philadelphia, PA, United States",Full Time,Executive-level,92000.0,"AWS,Big Data,Business Analytics,Hadoop,Machine Learning,Mathematics",no,no,no,no,no
"Scientist/Scientist, Machine Learning","United StatesBay Area, CA",Full Time,Senior-level,69000.0,"Computer Science,Data analysis,Deep Learning,Diffusion models,Drug discovery,Genetics",no,no,no,no,no
"Principal Site Reliability Engineer, Datastores (Hybrid)",United States,Full Time,Senior-level,176000.0,"Architecture,AWS,Elasticsearch,Engineering,Kafka,Kubernetes",no,no,no,no,no
Data Scientist,"Lisboa, Portugal",Full Time,Entry-level,40000.0,"Big Data,Computer Science,CX,Cybernetics,Engineering,Industrial",no,no,no,no,no
Consultant Data Engineer,"Brussels, Belgium",Full Time,Entry-level,39000.0,"APIs,Architecture,AWS,Azure,Big Data,CI/CD",no,no,no,no,no
Machine Learning Engineer L3,United States,Full Time,Mid-level,149000.0,"Computer Science,KPIs,Machine Learning,ML models,Research,Security",no,no,no,no,no
Data Analyst Coches.net,Spain,Full Time,Senior-level,92000.0,"Airflow,Big Data,Classification,Clustering,Data analysis,Databricks",no,no,no,no,no
"Product Marketing Manager, Conversational Intelligence & AI Products",United States- Remote,Full Time,Senior-level,130000.0,"Engineering,Excel,Market research,Research,,",no,no,no,no,no
GraduateData Analyst,India,Full Time,Entry-level,48000.0,"Data analysis,Excel,Market research,Privacy,Research,Statistics",no,no,no,no,no
Analytics Engineer,Remote (US & CAN),Full Time,Senior-level,110000.0,"APIs,Architecture,AWS,BigQuery,Business Analytics,Computer Science",no,no,no,no,no
Specialist Solutions Architect - Data Engineering (Public Sector),"Remote - Washington, DC",Full Time,Senior-level,115000.0,"APIs,Architecture,AWS,Azure,Big Data,CI/CD",no,no,no,no,no
Machine Learning Engineer,"Ottawa, ON",Full Time,Senior-level,131000.0,"AI strategy,BigQuery,Data Mining,Engineering,GPT,LLMs",no,no,no,no,no
