job_title,location,job_type,experience_level,salary,requirements,excel,tableau,power_bi,sql,python
"Scientist/. Scientist, Computational Biology","Cambridge, England",Full Time,Senior-level,62000.0,"Biology,Data analysis,Engineering,Genetics,Industrial,PhD",no,no,no,no,no
Data Scientist Consultant,United Kingdom,Full Time,Executive-level,92000.0,"Big Data,Business Intelligence,Computer Science,Excel,Machine Learning,Mathematics",no,no,no,no,no
"Manager, Data Engineering",United States,Full Time,Mid-level,81000.0,"APIs,Avro,AWS,Azure,Computer Science,Data management",no,no,no,no,no
Consultant |Data Analyst | KPMG Futures,"Sydney, Australia",Full Time,Entry-level,48000.0,"Azure,Computer Science,Data Analytics,Data quality,Data visualization,Engineering",no,no,no,no,no
Data Scientist,"Washington, DC, United States",Full Time,Senior-level,129000.0,"Computer Science,Economics,Excel,PhD,Predictive modeling,Python",no,no,no,no,yes
Research Scientist  AI-based Planning for Autonomous Systems,"Sunnyvale, CA, United States",Full Time,Senior-level,150000.0,"AWS,Azure,Big Data,Circuit Design,Computer Science,Computer Vision",no,no,no,no,no
Data Architect,"Heredia, Costa Rica",Full Time,Senior-level,135000.0,"APIs,Excel,KPIs,MySQL,Python,R",no,no,no,yes,yes
FinancialData Analyst (m/f/d),"Ballerup, Denmark",Full Time,Senior-level,92000.0,"Banking,Economics,Finance,Power BI,Statistics,",no,no,yes,no,no
"Analyst - Organizational Effectiveness (Data Management & Modelling, M&A)","Chicago, IL, United States",Full Time,Senior-level,69000.0,"Business Intelligence,Data analysis,Data Analytics,Data management,Data visualization,Genetics",no,no,no,no,no
Data Architect - Talent Pipeline,"Remote, United Kingdom",Full Time,Senior-level,135000.0,"Architecture,Athena,AWS,Azure,Consulting,Data Analytics",no,no,no,no,no
Data Analyst,United Kingdom,Full Time,Senior-level,92000.0,"Big Data,Business Intelligence,Data analysis,EDA,Excel,Machine Learning",no,no,no,no,no
Data Analyst Hub Manager,"Heredia, Costa Rica",Full Time,Senior-level,69000.0,"APIs,AWS,Data analysis,Data Analytics,Data quality,Excel",no,no,no,no,no
Data Analyst,"Kraków, Poland",Full Time,Senior-level,92000.0,"Big Data,Data Analytics,Data governance,Data management,Data quality,Finance",no,no,no,no,no
"Manager, Business Intelligence","Chicago, IL, United States",Full Time,Senior-level,69000.0,"Architecture,Business Intelligence,Data analysis,Data governance,Data visualization,ETL",no,no,no,no,no
"Data Analyst, Marketing & Enrollment - Hybrid","Local Office, Local Office, United States",Full Time,Senior-level,51000.0,"BigQuery,Business Intelligence,Data governance,Data visualization,Engineering,Finance",no,no,no,no,no
Architecte DATA - Décisionnel et Entrepôt Données Santé - Data Architect,France,Full Time,Senior-level,135000.0,"Agile,Architecture,Big Data,Business Intelligence,Data warehouse,Deep Learning",no,no,no,no,no
"Director, Data Science",United States,Full Time,Executive-level,130000.0,"Architecture,Bayesian,Big Data,Data Analytics,Data management,Data Mining",no,no,no,no,no
Principal Machine Learning Engineer,United States,Full Time,Senior-level,140000.0,"Computer Science,Data Analytics,Deep Learning,Engineering,LLMs,Machine Learning",no,no,no,no,no
Imaging Geophysicist - CDI permanent contract,"Massy, France",Full Time,Entry-level,39000.0,"Data analysis,Engineering,Excel,HPC,Mathematics,PhD",no,no,no,no,no
 Business Intelligence Analyst,"Jakarta, Indonesia",Full Time,Entry-level,35000.0,"Big Data,BigQuery,Business Intelligence,Computer Science,Excel,JavaScript",no,no,no,no,no
LeadData Analyst,India,Full Time,Senior-level,55000.0,"Agile,Airflow,Big Data,BigQuery,Business Intelligence,Computer Science",no,no,no,no,no
"Technical Integration Consultant- MFT, Migrations, ETL Experience- US Based Remote","Remote, United States",Full Time,Senior-level,62000.0,"APIs,Architecture,Azure,Business Analytics,Consulting,DB2",no,no,no,no,no
"Data Analyst (Flights team, Bangkok-based, Relocation provided)","Bangkok, Thailand",Full Time,Senior-level,92000.0,"A/B testing,Computer Science,Consulting,Data analysis,Data visualization,E-commerce",no,no,no,no,no
Machine Learning Engineer,"Germany, Berlin",Full Time,Senior-level,131000.0,"AWS,CUDA,Docker,Git,GitHub,GitLab",no,no,no,no,no
"Data Engineer, Operations (AdScribe)","Dublin, County Dublin, Ireland",Full Time,Mid-level,73000.0,"Agile,Airflow,AWS,Databricks,DataOps,Data pipelines",no,no,no,no,no
"Lead BI Analyst (Supply Analytics, Bangkok-based)","Bangkok, Thailand",Full Time,Senior-level,48000.0,"A/B testing,Business Intelligence,Computer Science,Consulting,E-commerce,Economics",no,no,no,no,no
. Cloud & Data Engineer (Hybrid),United States,Full Time,Senior-level,115000.0,"AWS,Classification,EC2,ECS,ELT,Engineering",no,no,no,no,no
Instructor- Data Analyst,"Calgary, AB",Full Time,Entry-level,44000.0,"CAD,Classification,Data Analytics,Engineering,PhD,Python",no,no,no,no,yes
Data Analyst (Procurement),"Valencia, ESP",Full Time,Senior-level,92000.0,"Agile,APIs,Data analysis,Finance,Jupyter,Machine Learning",no,no,no,no,no
"Technical Program Manager, Artificial Intelligence & Data","Palo Alto, California, United States",Full Time,Senior-level,62000.0,"Agile,Big Data,Computer Science,Data management,Engineering,Jira",no,no,no,no,no
Staff Machine Learning Platform Engineer,Remote - India,Full Time,Senior-level,49000.0,"A/B testing,Airflow,Blockchain,Chatbots,Computer Science,Computer Vision",no,no,no,no,no
Data Scientist,Toronto (Remote),Full Time,Senior-level,129000.0,"A/B testing,Clustering,Data analysis,Data visualization,Engineering,LLMs",no,no,no,no,no
 Data and Insight Analyst,"Wellington, New Zealand",Full Time,Entry-level,35000.0,"Agile,Computer Science,Engineering,Jupyter,Pandas,Power BI",no,no,yes,no,no
Business Intelligence Manager,United States,Full Time,Senior-level,96000.0,"Business Intelligence,CX,Finance,Python,SQL,Statistics",no,no,no,yes,yes
Data Engineer,Raleigh/Durham | Remote,Full Time,Senior-level,120000.0,"Airflow,Angular,Athena,AWS,Big Data,Computer Science",no,no,no,no,no
Data Enginner,"Johannesburg, South Africa",Full Time,Senior-level,48000.0,"Banking,Business Intelligence,Data quality,ETL,Python,SAS",no,no,no,no,yes
Analytics Engineer,United States,Full Time,Senior-level,148000.0,"Airflow,APIs,Business Intelligence,Data pipelines,Data quality,Data warehouse",no,no,no,no,no
"MonetizationData Analyst, Marketing Analytics",France,Full Time,Mid-level,65000.0,"Computer Science,Data analysis,Git,Python,SQL,Statistics",no,no,no,yes,yes
"Principal Software Engineer, Applied ML",United States,Full Time,Senior-level,283000.0,"Architecture,Content creation,Deep Learning,Diffusion models,Genetics,LLMs",no,no,no,no,no
Azure Data Engineer,"Toronto, Ontario, Canada",Full Time,Mid-level,56000.0,"Agile,AWS,Azure,Big Data,Databricks,Data governance",no,no,no,no,no
"Electrical Design Engineer, Data Center Design Engineering","Columbus, Ohio, USA",Full Time,Senior-level,69000.0,"AWS,Engineering,Industrial,Research,,",no,no,no,no,no
"AI Architect, IT",United States,Full Time,Senior-level,204000.0,"AI strategy,Architecture,Classification,Computer Science,Data Analytics,Data Mining",no,no,no,no,no
Data Engineer,"Málaga, Spain",Full Time,Senior-level,115000.0,"APIs,Architecture,Azure,Big Data,Blockchain,Data analysis",no,no,no,no,no
"Deployment Specialist -(Travel, Early Career Robotics)-Central to East Coast - US","Central U.S. to, East Coast Support, United ",Full Time,Senior-level,69000.0,"E-commerce,Robotics,,,,",no,no,no,no,no
"Staff Software Engineer, Machine Learning Acceleration",United States,Full Time,Senior-level,69000.0,"Architecture,Drivers license,Engineering,Linux,Machine Learning,Python",no,no,no,no,yes
BI Developer,"Norwich, United Kingdom",Full Time,Senior-level,62000.0,"Agile,Azure,Business Intelligence,CI/CD,Data warehouse,DevOps",no,no,no,no,no
"Data Engineer, Data Engineering",India,Full Time,Senior-level,115000.0,"Airflow,APIs,Bitbucket,Computer Science,Databricks,Data governance",no,no,no,no,no
Product Data Specialist,"Rotterdam, Zuid-Holland, Netherlands",Full Time,Entry-level,70000.0,"Business Intelligence,CSV,E-commerce,ETL,Excel,Python",no,no,no,no,yes
Consultant(e) Data Science - Bureau de Lyon,"Lyon, France",Full Time,Entry-level,39000.0,"Big Data,Consulting,Linux,Machine Learning,Matlab,Perl",no,no,no,no,no
"Associate Director, Data Engineering",United States,Full Time,Mid-level,106000.0,"AWS,Azure,Computer Science,Data management,Data pipelines,Data visualization",no,no,no,no,no
Consultant(e) Data Science,France,Full Time,Senior-level,62000.0,"Azure,Big Data,CI/CD,Consulting,GCP,Google Cloud",no,no,no,no,no
Consultant(e) Data Science - Bureau de Marseille,"Marseille, France",Full Time,Entry-level,39000.0,"Agile,Architecture,Big Data,Consulting,Data management,Linux",no,no,no,no,no
Data Engineer,United Kingdom,Full Time,Entry-level,59000.0,"Agile,Computer Science,Data pipelines,GCP,Git,Google Cloud",no,no,no,no,no
Business Intelligence Manager,"Seattle, WA",Full Time,Senior-level,96000.0,"Business Intelligence,CX,Finance,Privacy,Python,SQL",no,no,no,yes,yes
"Staff Data Scientist, Business - Sales & Customer Success",United States,Full Time,Senior-level,202000.0,"Causal inference,Classification,Clustering,Computer Science,Data analysis,Economics",no,no,no,no,no
Copywriter (ZibraAI),Ukraine,Full Time,Mid-level,51000.0,"Computer Science,Computer Vision,Content creation,Deep Learning,Engineering,Machine Learning",no,no,no,no,no
"Product Manager, Data Infrastructure","Seattle, WA, United States",Full Time,Senior-level,142000.0,"Banking,Blockchain,Crypto,Data pipelines,Engineering,Machine Learning",no,no,no,no,no
Data Scientist,United States,Full Time,Senior-level,295000.0,"A/B testing,Airflow,Big Data,Causal inference,Computer Science,Content creation",no,no,no,no,no
Staff Data Scientist,Remote,Full Time,Senior-level,200000.0,"Computer Science,Data analysis,Data Mining,Machine Learning,Python,Snowflake",no,no,no,no,yes
Data Scientist,Remote US,Full Time,Senior-level,140000.0,"Agile,Big Data,BigQuery,Business Intelligence,Computer Science,Deep Learning",no,no,no,no,no
Data Engineer - H/F,France,Full Time,Entry-level,59000.0,"APIs,Architecture,AWS,Azure,Big Data,Consulting",no,no,no,no,no
Machine Learning Engineer,"Gothenburg, Västra Götaland County, Sweden",Full Time,Mid-level,74000.0,"APIs,Architecture,Computer Science,Data Mining,E-commerce,Engineering",no,no,no,no,no
Software Engineer (Power BI) -ELECTION-46,"Vadodara, Gujarat, India",Full Time,Mid-level,45000.0,"APIs,Architecture,Business Intelligence,Classification,Data analysis,Excel",no,no,no,no,no
 Staff Data Scientist - ATG,"Kirkland, Washington, United States",Full Time,Senior-level,184000.0,"Computer Science,Data analysis,Data visualization,Engineering,Machine Learning,Mathematics",no,no,no,no,no
US Master Data Manager,United States,Full Time,Senior-level,68000.0,"Computer Science,Data governance,Data management,Data strategy,Excel,Finance",no,no,no,no,no
Data Analyst,"Wichita, KS",Full Time,Senior-level,52000.0,"Computer Science,Data analysis,Economics,Excel,Finance,Genetics",no,no,no,no,no
Data Analyst,Mexico,Full Time,Senior-level,92000.0,"Computer Science,Economics,Engineering,Excel,KPIs,Looker",no,no,no,no,no
Consultant(e) Data Science - Bureau de Marseille,"Marseille, France",Full Time,Senior-level,62000.0,"Architecture,Big Data,Consulting,Consulting firm,Data management,Linux",no,no,no,no,no
Data Analyst F/H,"Saint-Herblain, France",Full Time,Entry-level,48000.0,"Airflow,AWS,Data warehouse,ETL,Machine Learning,Snowflake",no,no,no,no,no
Data Scientist,"Gothenburg, Västra Götaland County, Sweden",Full Time,Mid-level,60000.0,"Architecture,Data analysis,Data Mining,Data visualization,E-commerce,Machine Learning",no,no,no,no,no
"Business Intelligence Analyst (Bangkok-based, Relocation provided)","Bangkok, Thailand",Full Time,Senior-level,49000.0,"A/B testing,Business Intelligence,Computer Science,Consulting,E-commerce,Economics",no,no,no,no,no
"Instructor, AI/Machine Learning (Part-time)",United States,Part Time,Mid-level,51000.0,"Deep Learning,Keras,Machine Learning,Python,Teaching,TensorFlow",no,no,no,no,yes
Big Data Engineer (Spark/ Hadoop/ Scala),"Ho Chi Minh City, Ho Chi Minh ",Full Time,Senior-level,30000.0,"Airflow,AWS,Big Data,Distributed Systems,ETL,FinTech",no,no,no,no,no
Research Scientist,"San Mateo, CA",Full Time,Entry-level,63000.0,"Computer Science,Content creation,Distributed Systems,Engineering,Genetics,Machine Learning",no,no,no,no,no
Wind Master Data Manager,"Kolding, Denmark",Full Time,Senior-level,77000.0,"Data management,Data quality,Engineering,Excel,Security,Testing",no,no,no,no,no
Applied Scientist II,"Dublin 1, Ireland",Full Time,Senior-level,184000.0,"AWS,Azure,Classification,Computer Science,Engineering,GCP",no,no,no,no,no
Data Science Analyst,"Bogotá, Colombia",Full Time,Entry-level,35000.0,"APIs,Data Mining,Data Studio,Machine Learning,Power BI,Python",no,no,yes,no,yes
Machine Learning Engineer - LLM,Canada - Remote,Full Time,Senior-level,131000.0,"Architecture,Engineering,LLMs,Machine Learning,NLP,Python",no,no,no,no,yes
ProductData Analyst - Gaming Analytics,France,Full Time,Mid-level,65000.0,"Data pipelines,KPIs,Pipelines,Predictive modeling,Python,Research",no,no,no,no,yes
Consultant(e) Data Science - Bureau de Nantes,"Nantes, France",Full Time,Senior-level,62000.0,"Big Data,Consulting,Consulting firm,Linux,Machine Learning,Matlab",no,no,no,no,no
Imaging Coordinator,"Berlin, Germany",Full Time,Entry-level,39000.0,"E-commerce,Excel,,,,",no,no,no,no,no
People AnalyticsData Analyst,"Washington, DC, United States",Full Time,Senior-level,92000.0,"Architecture,AWS,Business Intelligence,Classification,Consulting,Data visualization",no,no,no,no,no
Information Security & Data Management Trainer,"Melbourne, Australia",Full Time,Executive-level,65000.0,"Computer Science,Data management,Security,,,",no,no,no,no,no
"Machine Learning Modeler, Financial Crimes",United States,Full Time,Senior-level,142000.0,"Airflow,AWS,Banking,Blockchain,Classification,Computer Science",no,no,no,no,no
Lead Analyst (BI Data Development),"Chicago, IL, United States",Full Time,Senior-level,69000.0,"Agile,Big Data,Business Intelligence,Computer Science,Data Analytics,Data pipelines",no,no,no,no,no
Principal Machine Learning Engineer - Personalization,United States,Full Time,Senior-level,283000.0,"Computer Science,Engineering,Genetics,Machine Learning,Research,",no,no,no,no,no
"Staff Software Engineer, Data Platform",United States,Full Time,Senior-level,195000.0,"Airflow,Cassandra,Computer Science,Data strategy,Elasticsearch,Engineering",no,no,no,no,no
Consultant(e) Data Science,France,Full Time,Entry-level,39000.0,"Big Data,Consulting,Linux,Machine Learning,Matlab,Perl",no,no,no,no,no
Insight Analyst - Digital Experience,United Kingdom,Full Time,Senior-level,62000.0,"CX,E-commerce,Excel,Python,SQL,",no,no,no,yes,yes
Alternance Consultant(e) Data Analyst - H/F,"Lyon, France",Full Time,Entry-level,39000.0,"AWS,Azure,Big Data,Data Analytics,ETL,GCP",no,no,no,no,no
Consultant(e) Data Science - Bureau de Nantes,"Nantes, France",Full Time,Entry-level,39000.0,"Big Data,Consulting,Linux,Machine Learning,Matlab,Perl",no,no,no,no,no
302 - Data Analyst Specialist - CMS End Stage Renal Disease (ED),"Columbia, Maryland, United States",Full Time,Mid-level,56000.0,"Data Analytics,Power BI,Python,SQL,Tableau,Testing",no,yes,yes,yes,yes
Analytics Engineer,United Stateslifornia,Full Time,Senior-level,170000.0,"Airflow,Business Intelligence,Data quality,Data warehouse,ELT,Engineering",no,no,no,no,no
Software Engineer - Data Visualization,"France; Spain; Lisbon, Portugal; Nantes, ",Full Time,Senior-level,62000.0,"APIs,D3,Data visualization,JavaScript,Privacy,React",no,no,no,no,no
MLOps Engineer,"Palo Alto, CA",Full Time,Senior-level,142000.0,"Agile,Airflow,Autonomous Driving,AWS,Azure,Computer Science",no,no,no,no,no
ML Engineer (Remote),United States,Full Time,Senior-level,145000.0,"Computer Science,Data pipelines,Data visualization,Engineering,Generative modeling,Machine Learning",no,no,no,no,no
Research Engineer - Research,United States,Full Time,Senior-level,139000.0,"APIs,Computer Science,Distributed Systems,Engineering,Genetics,Open Source",no,no,no,no,no
Data Engineer,United States,Full Time,Senior-level,283000.0,"Airflow,Architecture,AWS,Azure,Dagster,Data pipelines",no,no,no,no,no
Product Owner - Data Visualization Specialist and Quality,"Oldsmar, FL",Full Time,Senior-level,50000.0,"AWS,Business Intelligence,Consulting,Data analysis,Data quality,Data visualization",no,no,no,no,no
Data Engineer - DataOps / AWS / Archi Distribuée (f/m/x),France,Full Time,Senior-level,115000.0,"Airflow,Ansible,APIs,Architecture,Athena,AWS",no,no,no,no,no
AI Data Engineer (USA REMOTE),"Boston, MA, United States",Full Time,Senior-level,115000.0,"APIs,Architecture,AWS,Azure,Data pipelines,Data visualization",no,no,no,no,no
Principal Machine Learning Engineer- Economy,United States,Full Time,Senior-level,267000.0,"Computer Science,Data analysis,Data pipelines,Engineering,Genetics,Machine Learning",no,no,no,no,no
Machine Learning Implementation Engineer,LATAM (Remote),Full Time,Senior-level,49000.0,"A/B testing,Airflow,APIs,Architecture,CI/CD,Data pipelines",no,no,no,no,no
Robotics Software Engineer,"Louisville, Colorado",Full Time,Senior-level,110000.0,"Angular,Architecture,Computer Vision,Data analysis,Engineering,Genetics",no,no,no,no,no
"Data Management System General Support Coordinator, Consultancy","Texcoco, State of Mexico, Mexico",Full Time,Mid-level,56000.0,"Computer Science,Data management,ITIL,Nonprofit,Research,Statistics",no,no,no,no,no
Data Scientist (Deep Learning Specialist),"Barangaroo, Australia",Full Time,Senior-level,129000.0,"Architecture,CI/CD,Computer Vision,Deep Learning,Engineering,Git",no,no,no,no,no
Machine Learning Engineer / Machine Learning Engineer,"Somerville, MA",Full Time,Senior-level,125000.0,"Deep Learning,Git,Machine Learning,NLP,Python,PyTorch",no,no,no,no,yes
"Managing Director, Data Engineering, Reporting, Visualization",Flexible within the US,Full Time,Executive-level,115000.0,"Agile,APIs,Architecture,Azure,Business Intelligence,Computer Science",no,no,no,no,no
Principal Deep Learning Engineer - Computer Vision,United States,Full Time,Senior-level,283000.0,"Computer Vision,Deep Learning,Genetics,Machine Learning,PhD,Research",no,no,no,no,no
Data Engineer - Team Data Platform (f/m/x),France,Full Time,Senior-level,115000.0,"Airflow,Ansible,APIs,Architecture,Athena,AWS",no,no,no,no,no
BI Developer (SAP BO & Qlik),"Brussels, Brussels, Belgium",Full Time,Mid-level,51000.0,"Architecture,Business Intelligence,Data Mining,Data quality,Data warehouse,ETL",no,no,no,no,no
Staff Data Scientist - ATG,"Kirkland, Washington, United States",Full Time,Senior-level,159000.0,"BERT,Computer Science,Git,Industrial,Machine Learning,NLP",no,no,no,no,no
"Analyst, Data Science (R-14532)",India - India,Full Time,Senior-level,55000.0,"Data analysis,Data Analytics,Hadoop,Machine Learning,NLP,Privacy",no,no,no,no,no
. ML Engineer (Infrastructure),"Seoul, South Korea",Full Time,Senior-level,131000.0,"APIs,AWS,Azure,CUDA,Docker,Elasticsearch",no,no,no,no,no
Machine Learning Engineer,Remote - India,Full Time,Senior-level,131000.0,"Airflow,Blockchain,Chatbots,Computer Science,Computer Vision,Crypto",no,no,no,no,no
"Director, Business Intelligence",United States,Full Time,Executive-level,130000.0,"Business Intelligence,Consulting,Data analysis,Excel,Finance,",no,no,no,no,no
"Platform Data Engineer, People Analytics","Toronto or Vancouver, Canada, United States",Full Time,Senior-level,115000.0,"APIs,Architecture,AWS,Banking,Blockchain,Crypto",no,no,no,no,no
Data Analyst,India,Full Time,Entry-level,48000.0,"Excel,Market research,Privacy,Research,Statistics,",no,no,no,no,no
 Machine Learning Engineer,India,Full Time,Senior-level,131000.0,"Ansible,AWS,Azure,GitHub,GitLab,Kubernetes",no,no,no,no,no
Data Scientist (MMM),United Kingdom,Full Time,Entry-level,40000.0,"Data Analytics,Econometrics,Excel,Python,R,Spark",no,no,no,no,yes
Machine Learning Engineer,"Aix-en-Provence, Provence-Alpes-Côte d'Azur, France",Full Time,Mid-level,74000.0,"Agile,Architecture,AWS,Azure,Chatbots,Classification",no,no,no,no,no
Spark Technical Solutions Engineer,"Plano, Texas",Full Time,Senior-level,69000.0,"APIs,AWS,Azure,Big Data,Consulting,Databricks",no,no,no,no,no
Head of Business Intelligence and Analytics,"Cambridge, United Kingdom",Full Time,Executive-level,73000.0,"Agile,Business Intelligence,Computer Science,Data pipelines,Engineering,Excel",no,no,no,no,no
"Analyst - Business Intelligence (Bangkok-based, Relocation Provided)","Bangkok, Thailand",Full Time,Senior-level,55000.0,"A/B testing,Business Intelligence,Computer Science,Consulting,Data Analytics,E-commerce",no,no,no,no,no
Lead Data Developer,"Liverpool, England, United Kingdom",Full Time,Mid-level,51000.0,"Data warehouse,SAS,SQL,Teaching,Testing,",no,no,no,yes,no
"Program Manager, Operations Finance Business Intelligence, Japan Operations Finance","Osaka, JPN",Full Time,Senior-level,55000.0,"Big Data,Business Intelligence,Data Analytics,Data visualization,Data Warehousing,Engineering",no,no,no,no,no
AI Data Engineering and Data Science Manager (USA REMOTE),"Boston, MA, United States",Full Time,Executive-level,200000.0,"APIs,Architecture,AWS,Azure,Data pipelines,Data visualization",no,no,no,no,no
"Research Scientist, Responsible AI","Toronto, Palo Alto, United States, London",Full Time,Senior-level,89000.0,"APIs,Computer Science,GCP,Google Cloud,LLMs,Machine Learning",no,no,no,no,no
Data Engineer,"Jersey City, NJ, United States",Full Time,Senior-level,115000.0,"Architecture,Athena,AWS,Big Data,Computer Science,Data Analytics",no,no,no,no,no
"Data Scientist, Generative AI",United States,Full Time,Senior-level,148000.0,"Economics,Engineering,LLMs,Machine Learning,NLP,Python",no,no,no,no,yes
Data Engineer,"Eindhoven, Netherlands",Full Time,Senior-level,115000.0,"Agile,APIs,AWS,Azure,Computer Science,Data pipelines",no,no,no,no,no
Data Analyst Manager,India,Full Time,Senior-level,109000.0,"Azure,Clustering,Computer Science,Data analysis,Data Analytics,Finance",no,no,no,no,no
Data Engineer (Melbourne),"Malvern East, Australia",Full Time,Mid-level,73000.0,"Agile,Ansible,Architecture,Avro,AWS,Bitbucket",no,no,no,no,no
. Product Designer - Data Management (UK),"Remote, UK",Full Time,Senior-level,56000.0,"Agile,Architecture,Data management,Data visualization,Finance,FinTech",no,no,no,no,no
#659 Data Engineer,"Santiago, Santiago Metropolitan Region, Chile - Remote",Full Time,Mid-level,73000.0,"Airflow,DataOps,DevOps,GCP,Google Cloud,Industrial",no,no,no,no,no
Data Visualization Analyst,"Cincinnati, Ohio, United States",Full Time,Senior-level,69000.0,"Agile,Computer Science,Data visualization,Engineering,JavaScript,Mathematics",no,no,no,no,no
Specialist Solutions Architect - Data Engineering & Azure,United States,Full Time,Senior-level,115000.0,"APIs,Architecture,Azure,Big Data,CI/CD,Computer Science",no,no,no,no,no
PeopleData Analyst,"Manchester, England, United Kingdom",Full Time,Mid-level,51000.0,"Agile,Data management,Data quality,E-commerce,Excel,Power BI",no,no,yes,no,no
Data Scientist,United Kingdom,Full Time,Mid-level,60000.0,"Agile,Computer Science,Data analysis,Data pipelines,EDA,Engineering",no,no,no,no,no
Senior/ Lead Data Analyst,Global,Full Time,Senior-level,62000.0,"Agile,Azure,Data Analytics,Databricks,Engineering,Excel",no,no,no,no,no
Data Product Owner,"Porto, Porto, Portugal",Full Time,Mid-level,51000.0,"Agile,Azure,Computer Science,Data Analytics,DevOps,Engineering",no,no,no,no,no
Head of Health Data Science,"Cambridge, MA USA",Full Time,Executive-level,73000.0,"AWS,BERT,Computer Science,Computer Vision,Data management,Deep Learning",no,no,no,no,no
Data Scientist,United States,Full Time,Senior-level,295000.0,"Airflow,Big Data,Causal inference,Computer Science,Deep Learning,Economics",no,no,no,no,no
Data Engineer - NBC Sports Next,"Orlando, Florida, United States",Full Time,Senior-level,115000.0,"Agile,Airflow,AWS,DataOps,Data pipelines,Data warehouse",no,no,no,no,no
Applied Scientist II,United States,Full Time,Senior-level,136000.0,"AWS,Computer Vision,Data Mining,Linux,Machine Learning,OCR",no,no,no,no,no
Data Scientist,United States,Full Time,Senior-level,310000.0,"A/B testing,Airflow,Big Data,Causal inference,Computer Science,Data analysis",no,no,no,no,no
Jr. CRM Data Quality Specialist,"Berlin, Germany",Full Time,Entry-level,39000.0,"Data governance,Data quality,Finance,,,",no,no,no,no,no
Data Engineer,"Ciudad de México, Mexico",Full Time,Senior-level,115000.0,"Azure,BigQuery,Bigtable,Computer Science,Databricks,Data pipelines",no,no,no,no,no
Head of Data Science (f/m/x),"Berlin, Germany",Full Time,Executive-level,102000.0,"AWS,Engineering,Linux,Machine Learning,ML models,MLOps",no,no,no,no,no
Director of Machine Learning Platform Engineering,"Boston, MA",Full Time,Executive-level,81000.0,"AWS,Computer Science,Data governance,Engineering,Feature engineering,Machine Learning",no,no,no,no,no
Staff Research Scientist/Engineer,"Montreal, QUEBEC, Canada",Full Time,Senior-level,89000.0,"Computer Science,Deep Learning,Git,GPU,Mathematics,NLP",no,no,no,no,no
Data Analyst and BI Developer,"Remote, OR, United States",Full Time,Senior-level,62000.0,"Big Data,Business Intelligence,Data analysis,Data visualization,Economics,Engineering",no,no,no,no,no
"Staff Machine Learning Modeler, Financial Crimes",United States,Full Time,Senior-level,69000.0,"Airflow,AWS,Banking,Blockchain,Classification,Computer Science",no,no,no,no,no
Data Engineer Databricks,"Monterrey, Nuevo Leon, Mexico - Remote",Full Time,Mid-level,73000.0,"Agile,AWS,Azure,Databricks,Engineering,ETL",no,no,no,no,no
Data Analyst,Remote,Full Time,Senior-level,153000.0,"A/B testing,Computer Science,Data analysis,Data pipelines,Data visualization,Engineering",no,no,no,no,no
Software Engineer (Data Engineering),India,Full Time,Senior-level,115000.0,"Agile,Architecture,Big Data,Clustering,Computer Science,Data analysis",no,no,no,no,no
HRIS & Data Analyst Specialist,"Milano, Italy",Full Time,Entry-level,39000.0,"Consulting,Data Analytics,Economics,Excel,,",no,no,no,no,no
"Group Manager, Technical Data Science","Mountain View, United States",Full Time,Executive-level,154000.0,"Agile,AWS,Business Intelligence,CI/CD,Data quality,Engineering",no,no,no,no,no
Expert Data Scientist (f/m/x),"Berlin, Germany",Full Time,Senior-level,129000.0,"AWS,Azure,Engineering,GCP,Google Cloud,Machine Learning",no,no,no,no,no
Research Analyst (RPA Engineer),"George Town, Malaysia",Full Time,Senior-level,55000.0,"APIs,Data Analytics,DevOps,Excel,Python,RDBMS",no,no,no,no,yes
"Data Engineer, Clearing and Custody",United States,Full Time,Senior-level,150000.0,"APIs,Docker,Engineering,Finance,JSON,Kafka",no,no,no,no,no
Senior/Data Engineer,Athens,Full Time,Senior-level,115000.0,"Ansible,AWS,Data pipelines,DevOps,Elasticsearch,Engineering",no,no,no,no,no
Analytics Engineer - Analytics Hub,"BR São Paulo, São Paulo, Brazil",Full Time,Senior-level,110000.0,"Agile,Airflow,Architecture,Azure,BigQuery,Data governance",no,no,no,no,no
"Data Scientist, IPC - Specialized Selection","United States, USA",Full Time,Senior-level,86000.0,"Big Data,Business Analytics,Causal inference,Computer Science,Economics,Engineering",no,no,no,no,no
(Mid level) Business Intelligence Analyst SCM (f/m/x),"Berlin, Germany",Full Time,Mid-level,51000.0,"AWS,Azure,BigQuery,Business Intelligence,Data analysis,Data quality",no,no,no,no,no
Partner Data Specialist,"Manila, Manila, Philippines",Full Time,Entry-level,70000.0,"Banking,Excel,Finance,,,",no,no,no,no,no
Azure Data Engineer (SQL/Python),"Skopje, Greater Skopje, North Macedonia",Full Time,Mid-level,51000.0,"Architecture,Azure,Business Intelligence,Computer Science,Databricks,Data pipelines",no,no,no,no,no
Analyste-Programm spécialiste ETL,Canada - Remote,Full Time,Mid-level,51000.0,"Architecture,ETL,Looker,OLAP,Oracle,Pentaho",no,no,no,no,no
Data Engineer,United States,Full Time,Senior-level,115000.0,"Agile,APIs,Architecture,AWS,CI/CD,Data analysis",no,no,no,no,no
"Data Engineer, Creative Media Operations","Chicago, IL, United States",Full Time,Executive-level,200000.0,"Architecture,AWS,Content creation,Engineering,JSON,Redshift",no,no,no,no,no
